dataset,budget_per_class,noise_rate,noise_type,method,seed,label,label_name,clean_support,precision,recall,f1
ag_news,8,0.0,symmetric,linear_svm_hinge,505,3,Sci/Tech,200,0.463768115942029,0.16,0.2379182156133829
ag_news,8,0.0,symmetric,multinomial_nb,101,0,0,200,0.44623655913978494,0.415,0.43005181347150256
ag_news,8,0.0,symmetric,multinomial_nb,101,1,1,200,0.608,0.38,0.4676923076923077
ag_news,8,0.0,symmetric,multinomial_nb,101,2,2,200,0.4703703703703704,0.635,0.5404255319148937
ag_news,8,0.0,symmetric,multinomial_nb,101,3,3,200,0.410958904109589,0.45,0.4295942720763723
ag_news,8,0.0,symmetric,multinomial_nb,202,0,0,200,0.576271186440678,0.51,0.5411140583554377
ag_news,8,0.0,symmetric,multinomial_nb,202,1,1,200,0.5236220472440944,0.665,0.5859030837004405
ag_news,8,0.0,symmetric,multinomial_nb,202,2,2,200,0.5287356321839081,0.46,0.49197860962566853
ag_news,8,0.0,symmetric,multinomial_nb,202,3,3,200,0.5743589743589743,0.56,0.5670886075949367
ag_news,8,0.0,symmetric,multinomial_nb,303,0,0,200,0.6209150326797386,0.475,0.5382436260623229
ag_news,8,0.0,symmetric,multinomial_nb,303,1,1,200,0.6631016042780749,0.62,0.6408268733850129
ag_news,8,0.0,symmetric,multinomial_nb,303,2,2,200,0.4411764705882353,0.45,0.44554455445544555
ag_news,8,0.0,symmetric,multinomial_nb,303,3,3,200,0.40625,0.52,0.45614035087719296
ag_news,8,0.0,symmetric,multinomial_nb,404,0,0,200,0.6288659793814433,0.61,0.6192893401015229
ag_news,8,0.0,symmetric,multinomial_nb,404,1,1,200,0.5277777777777778,0.665,0.588495575221239
ag_news,8,0.0,symmetric,multinomial_nb,404,2,2,200,0.5454545454545454,0.39,0.45481049562682213
ag_news,8,0.0,symmetric,multinomial_nb,404,3,3,200,0.5165876777251185,0.545,0.5304136253041363
ag_news,8,0.0,symmetric,multinomial_nb,505,0,0,200,0.509090909090909,0.56,0.5333333333333333
ag_news,8,0.0,symmetric,multinomial_nb,505,1,1,200,0.4796380090497738,0.53,0.503562945368171
ag_news,8,0.0,symmetric,multinomial_nb,505,2,2,200,0.5555555555555556,0.475,0.5121293800539084
ag_news,8,0.0,symmetric,multinomial_nb,505,3,3,200,0.4627659574468085,0.435,0.4484536082474227
ag_news,8,0.0,symmetric,softmax_logreg,101,0,0,200,0.421875,0.405,0.413265306122449
ag_news,8,0.0,symmetric,softmax_logreg,101,1,1,200,0.6732673267326733,0.34,0.451827242524917
ag_news,8,0.0,symmetric,softmax_logreg,101,2,2,200,0.4533898305084746,0.535,0.4908256880733945
ag_news,8,0.0,symmetric,softmax_logreg,101,3,3,200,0.36900369003690037,0.5,0.42462845010615713
ag_news,8,0.0,symmetric,softmax_logreg,202,0,0,200,0.5280898876404494,0.47,0.4973544973544973
ag_news,8,0.0,symmetric,softmax_logreg,202,1,1,200,0.46853146853146854,0.67,0.5514403292181069
ag_news,8,0.0,symmetric,softmax_logreg,202,2,2,200,0.5103448275862069,0.37,0.4289855072463768
ag_news,8,0.0,symmetric,softmax_logreg,202,3,3,200,0.5340314136125655,0.51,0.5217391304347827
ag_news,8,0.0,symmetric,softmax_logreg,303,0,0,200,0.5513513513513514,0.51,0.5298701298701299
ag_news,8,0.0,symmetric,softmax_logreg,303,1,1,200,0.63,0.63,0.63
ag_news,8,0.0,symmetric,softmax_logreg,303,2,2,200,0.4603174603174603,0.435,0.4473007712082262
ag_news,8,0.0,symmetric,softmax_logreg,303,3,3,200,0.4247787610619469,0.48,0.45070422535211263
ag_news,8,0.0,symmetric,softmax_logreg,404,0,0,200,0.5924170616113744,0.625,0.6082725060827251
ag_news,8,0.0,symmetric,softmax_logreg,404,1,1,200,0.543778801843318,0.59,0.565947242206235
ag_news,8,0.0,symmetric,softmax_logreg,404,2,2,200,0.5347222222222222,0.385,0.4476744186046512
ag_news,8,0.0,symmetric,softmax_logreg,404,3,3,200,0.5087719298245614,0.58,0.5420560747663552
ag_news,8,0.0,symmetric,softmax_logreg,505,0,0,200,0.472,0.59,0.5244444444444444
ag_news,8,0.0,symmetric,softmax_logreg,505,1,1,200,0.43621399176954734,0.53,0.47855530474040636
